Timestamp,1. Do you consent to participate in this survey?,2. Which age category do you belong to?,3. How do you identify yourself?,4. How often do you use the following devices? [Smartphone],4. How often do you use the following devices? [Laptop/Computer],4. How often do you use the following devices? [Tablet],4. How often do you use the following devices? [Smart home device],5. Which social media platforms do you use regularly? (Select all that apply)  ,6. How concerned are you about the privacy of your personal information online? ,7. Have you ever adjusted your privacy settings on social media platforms? ,"8. How frequently do you read the privacy policies of websites or apps before using them? (Never, Rarely, Sometimes, Often, Always)  ",9. Have you ever experienced a data breach or had your personal information compromised? ,10. Do you use any of the following methods to protect your personal information? (Select all that apply)  ,11. How important is digital privacy to you?   ,"12. Do you believe that technology companies do enough to protect user privacy? (Strongly disagree, Disagree, Neutral, Agree, Strongly agree)  ","13. How confident are you in your ability to manage your privacy settings and protect your personal information online? (Not confident, Slightly confident, Moderately confident, Very confident, Extremely confident)  ",14. Do you feel that you have enough information to make informed decisions about your digital privacy?,15. Please share any additional thoughts or concerns you have about technology and privacy:  
11/13/2024 12:19,Yes,18-30,Male,Sometimes,Sometimes,Sometimes,Rarely,Instagram,5,Yes,3,No,Strong Passwords,Extremely important,3,3,Neutral,.
11/13/2024 12:26,Yes,18-30,Female,Always,Always,Never,Never,"Instagram, LinkedIn",5,Yes,5,No,Strong Passwords,Extremely important,5,5,Strongly agree,None
11/13/2024 12:27,Yes,18-30,Male,Sometimes,Sometimes,Sometimes,Sometimes,"Facebook, Instagram, LinkedIn",3,No,2,No,"Strong Passwords, Two - Factor Authentication, Usage of VPNs",Slightly important,3,4,Neutral,"Not in particular, it’s quite easy for companies to stole the data."
11/13/2024 12:29,Yes,31 - 44,Female,Always,Always,Often,Always,"Facebook, Instagram, LinkedIn",5,Yes,2,Yes,"Strong Passwords, Two - Factor Authentication, Frequent Security Update",Extremely important,5,3,Agree,NA
11/13/2024 12:40,Yes,18-30,Male,Always,Always,Rarely,Often,Instagram,5,Yes,5,No,"Strong Passwords, Two - Factor Authentication, Frequent Security Update",Extremely important,2,5,Strongly disagree,Na
11/13/2024 12:40,Yes,18-30,Female,Rarely,Rarely,Rarely,Rarely,"Instagram, LinkedIn",5,Yes,4,No,"Strong Passwords, Two - Factor Authentication, Frequent Security Update",Extremely important,5,4,Agree,No concerns
11/13/2024 12:42,Yes,18-30,Female,Often,Often,Rarely,Rarely,"Facebook, Instagram",5,Yes,3,No,"Strong Passwords, Two - Factor Authentication, Frequent Security Update",Extremely important,3,3,Neutral,None
11/13/2024 12:51,Yes,18-30,Male,Always,Sometimes,Rarely,Sometimes,"Instagram, Youtube",4,Yes,3,No,"Frequent Security Update, Usage of VPNs",Extremely important,1,4,Neutral,.
11/13/2024 12:53,Yes,18-30,Female,Always,Often,Never,Often,"Instagram, X (AKA Twitter)",5,Yes,3,No,Strong Passwords,Extremely important,3,2,Disagree,Technology should be a safe space and not a source of constant worry about one's privacy 
11/13/2024 12:56,Yes,18-30,Male,Often,Often,Never,Always,Instagram,5,No,1,No,Two - Factor Authentication,Extremely important,3,5,Strongly agree,None
11/13/2024 12:58,Yes,31 - 44,Male,Sometimes,Sometimes,Sometimes,Sometimes,"Instagram, LinkedIn",5,Yes,5,No,"Strong Passwords, Two - Factor Authentication, Frequent Security Update, Usage of VPNs",Extremely important,5,5,Strongly agree,None. All good
11/13/2024 12:58,Yes,18-30,Female,Always,Always,Never,Sometimes,"Facebook, Instagram",3,Yes,3,No,Two - Factor Authentication,Moderately important,3,3,Neutral,NA
11/13/2024 12:59,Yes,18-30,Female,Sometimes,Sometimes,Never,Never,Instagram,5,Yes,2,No,Strong Passwords,Extremely important,3,3,Neutral,Need use technology carefully 
11/13/2024 13:00,Yes,18-30,Male,Always,Often,Rarely,Rarely,Instagram,5,No,5,No,"Strong Passwords, Two - Factor Authentication, Frequent Security Update",Extremely important,5,5,Strongly agree,"Technology now adays is top notch. You can me scammed,hacked by ur own people around you so we need to be more concentrated towards keeping out digital info private."
11/13/2024 13:00,Yes,18-30,Male,Sometimes,Rarely,Never,Never,"Instagram, Youtube",5,Yes,5,No,"Strong Passwords, Frequent Security Update",Extremely important,1,4,Neutral,Provide awareness to users regarding privacy and security 
11/13/2024 13:06,Yes,18-30,Female,Always,Always,Never,Rarely,Instagram,5,Yes,5,No,"Strong Passwords, Two - Factor Authentication, Frequent Security Update",Extremely important,3,4,Neutral,"I think the online platform should not have our personal information, as nowadays even what we speak is been recorded i feel cause what i talk about comes up on social media platforms relatable content which is scary and skeptical"
11/13/2024 13:09,Yes,18-30,Male,Always,Sometimes,Never,Never,"Instagram, LinkedIn",3,Yes,2,No,Strong Passwords,Extremely important,3,3,Agree,Nope
11/13/2024 13:10,Yes,18-30,Male,Always,Often,Sometimes,Rarely,Instagram,5,Yes,3,No,"Strong Passwords, Two - Factor Authentication",Extremely important,4,3,Neutral,"as the technology increases, we need more online privacy solutions to protect a person's personal data "
11/13/2024 13:27,Yes,18-30,Female,Often,Sometimes,Never,Sometimes,"Instagram, Youtube , OTT platforms ",4,Yes,4,No,Two - Factor Authentication,Extremely important,2,3,Neutral,My concern - Google do hear conversations and suggestions are shared accordingly 
11/13/2024 13:27,Yes,31 - 44,Female,Sometimes,Sometimes,Rarely,Never,"Facebook, Instagram",5,Yes,5,No,"Strong Passwords, Two - Factor Authentication",Extremely important,5,5,Strongly agree,It should not be mandatory to share cookies everytime
11/13/2024 13:28,Yes,18-30,Male,Always,Often,Never,Rarely,"Instagram, LinkedIn",5,Yes,4,No,"Strong Passwords, Two - Factor Authentication, Usage of VPNs",Extremely important,4,4,Agree,"I want to be able to bypass any app model that sells my personal data to add services using closed source software, I would like to use kore open sourced and secured software applications."
11/13/2024 13:37,Yes,18-30,Female,Always,Rarely,Rarely,Rarely,Instagram,5,Yes,5,No,"Strong Passwords, Two - Factor Authentication",Extremely important,5,5,Strongly agree,Don’t  know
11/13/2024 13:39,Yes,18-30,Male,Often,Sometimes,Rarely,Rarely,Instagram,3,No,2,No,Two - Factor Authentication,Moderately important,2,2,Neutral,I didn't have any thoughts 
11/13/2024 13:48,Yes,18-30,Female,Always,Always,Rarely,Rarely,"Instagram, LinkedIn",5,Yes,2,Yes,Two - Factor Authentication,Extremely important,3,4,Neutral,na
11/13/2024 13:50,Yes,18-30,Female,Sometimes,Sometimes,Never,Never,Instagram,5,Yes,1,No,"Strong Passwords, Frequent Security Update",Extremely important,1,5,Strongly agree,Privacy is important!
11/13/2024 14:27,Yes,18-30,Female,Always,Always,Never,Never,"Instagram, LinkedIn",5,Yes,1,No,"Strong Passwords, Two - Factor Authentication",Extremely important,3,5,Agree,N/A
11/13/2024 14:27,Yes,18-30,Female,Often,Often,Rarely,Always,"Facebook, Instagram, LinkedIn, X (AKA Twitter)",5,Yes,2,Yes,"Strong Passwords, Two - Factor Authentication, Frequent Security Update",Not important,2,2,Neutral,No
11/13/2024 14:50,Yes,31 - 44,Female,Always,Rarely,Rarely,Sometimes,Instagram,5,No,2,No,Strong Passwords,Extremely important,4,3,Agree,Need to improve 
11/13/2024 14:52,Yes,18-30,Female,Sometimes,Sometimes,Rarely,Sometimes,Instagram,5,Yes,5,Yes,"Strong Passwords, Two - Factor Authentication",Extremely important,5,5,Neutral,Hmmm it's does matter technology is improving but not security 
11/13/2024 15:03,Yes,18-30,Male,Often,Often,Never,Rarely,Instagram,4,Yes,3,No,Two - Factor Authentication,Extremely important,3,2,Neutral,I feel I should have more transparency on my terms of privacy.
11/13/2024 15:26,Yes,31 - 44,Female,Often,Rarely,Rarely,Never,Instagram,5,Yes,5,No,Frequent Security Update,Extremely important,5,5,Strongly agree,Privacy is much important as it keeps all information secretive 
11/13/2024 16:26,Yes,31 - 44,Male,Often,Sometimes,Never,Never,"Instagram, LinkedIn",3,No,3,No,Two - Factor Authentication,Extremely important,4,4,Agree,It should be taken cared through passwords
11/13/2024 17:07,Yes,18-30,Male,Sometimes,Rarely,Never,Never,Instagram,5,Yes,4,No,"Strong Passwords, Two - Factor Authentication, Frequent Security Update",Extremely important,3,4,Agree,N/A
11/13/2024 18:23,Yes,18-30,Male,Always,Sometimes,Always,Always,Instagram,5,Yes,5,Yes,Strong Passwords,Extremely important,5,5,Strongly agree,Nothing right now 
11/13/2024 18:59,Yes,31 - 44,Male,Always,Always,Rarely,Rarely,"Instagram, LinkedIn, YouTube ",5,No,4,No,"Strong Passwords, Two - Factor Authentication",Extremely important,4,3,Neutral,NA
11/13/2024 19:50,Yes,18-30,Female,Often,Often,Rarely,Rarely,"Facebook, Instagram, LinkedIn",4,Yes,3,Yes,Frequent Security Update,Moderately important,3,3,Neutral,. 
11/13/2024 20:29,No,18-30,Female,Sometimes,Sometimes,Rarely,Rarely,Instagram,4,No,3,No,None of the above,Extremely important,4,3,Agree,Nthng
11/13/2024 20:55,Yes,18-30,Male,Always,Sometimes,Always,Rarely,Instagram,4,Yes,2,No,"Strong Passwords, Two - Factor Authentication",Extremely important,2,5,Agree,It could be better if it add more secure updates and 2 factor authentication 
11/13/2024 21:21,Yes,18-30,Female,Always,Always,Often,Sometimes,"Instagram, LinkedIn",4,Yes,4,No,"Strong Passwords, Two - Factor Authentication, Frequent Security Update",Extremely important,3,4,Agree,"Technology has truly revolutionized our lives, making tasks easier, providing entertainment, and connecting us like never before. However, this convenience comes with significant considerations about privacy. Here are a few thoughts: 1. Data Collection: Companies collect vast amounts of personal data for various reasons, such as improving services, targeted advertising, and user behavior analysis. While this can enhance user experience, it also raises concerns about how this data is stored, used, and shared. 2. Security: With the rise of cyber-attacks, ensuring the security of personal information is critical. Data breaches can lead to identity theft, financial loss, and loss of privacy. 3. Consent and Control: Users often have limited understanding and control over how their data is used. Clear, transparent policies and easy-to-understand consent mechanisms are essential. 4. Surveillance: The use of technology by governments for surveillance purposes can be concerning. It's a delicate balance between national security and individual privacy rights. 5. Ethical Use: The ethical use of technology, including AI, is crucial. Decisions about how data is used should consider potential impacts on individuals and society."
11/13/2024 22:07,Yes,18-30,Female,Often,Often,Often,Sometimes,Instagram,5,Yes,3,Yes,"Strong Passwords, Two - Factor Authentication, Frequent Security Update",Extremely important,3,3,Neutral,Privacy of every individual should be respected 
11/13/2024 22:58,Yes,18-30,Female,Always,Always,Never,Never,Instagram,5,Yes,1,No,"Strong Passwords, Two - Factor Authentication",Extremely important,5,4,Agree,no thoughts
11/13/2024 23:19,Yes,18-30,Female,Always,Often,Rarely,Rarely,Instagram,4,Yes,3,No,None of the above,Extremely important,3,3,Neutral,None
11/13/2024 23:49,Yes,18-30,Male,Sometimes,Never,Never,Never,"Facebook, Instagram, X (AKA Twitter)",5,Yes,3,No,Strong Passwords,Moderately important,3,4,Neutral,Any personal information do not use AI 
11/14/2024 02:16,Yes,31 - 44,Female,Always,Always,Never,Never,"Facebook, Instagram",5,Yes,3,No,Two - Factor Authentication,Extremely important,3,2,Neutral,Privacy is extremely important and social media should have enough security modes to protect it
11/14/2024 07:34,Yes,Under 18,Male,Often,Rarely,Rarely,Rarely,Instagram,5,Yes,3,No,"Strong Passwords, Frequent Security Update",Extremely important,4,2,Neutral,It can be improved 
11/14/2024 09:11,Yes,18-30,Female,Never,Never,Never,Never,Instagram,4,Yes,1,No,Strong Passwords,Extremely important,3,5,Strongly agree,Nothing 
11/17/2024 03:59,Yes,18-30,Male,Always,Often,Never,Never,"Instagram, YouTube",5,No,1,Yes,Strong Passwords,Extremely important,1,1,Neutral,Platforms should periodically inform the users about the privacy settings and options to safeguard accounts
11/17/2024 18:48,Yes,31 - 44,Male,Always,Always,Never,Never,Instagram,5,Yes,1,No,Two - Factor Authentication,Extremely important,3,3,Disagree,No comments 
11/18/2024 04:36,No,18-30,Male,Often,Rarely,Never,Rarely,Instagram,5,Yes,3,No,"Strong Passwords, Two - Factor Authentication",Extremely important,2,3,Neutral,"I feel it is a breach, people who i dont even know reach out to me with my intersts"
11/20/2024 23:22,Yes,18-30,Male,Often,Sometimes,Sometimes,Sometimes,"Facebook, Instagram, LinkedIn",1,Yes,1,No,"Strong Passwords, Two - Factor Authentication",Extremely important,4,4,Agree,N/A
